epsilon,0.00390625,0.0078125,0.015625,0.03125,0.0625,0.125
1e-06,257,129,65,33,17,9
0.0001,257,129,65,33,17,9
0.01,257,129,65,33,17,9
1.0,257,129,65,33,17,9
